num inputs,range,merge time,merge constant,bucket time,bucket constant,bucket avg high asym/1000,bucket avg low asym,merge avg asym,,bucket asym,merge asym,,,
26000,499953,100437,0.263392,115034,0.218715,206377.392,160569.243276,98265.8714199337,,115033.810395,100437.117886205,,525953,381321.824072883
27000,499953,103283,0.259859,121909,0.231347,222557.868,160874.535276,102424.167309277,,121908.995691,103283.074346023,,526953,397458.13824429
28000,499953,108840,0.263122,123355,0.233648,239348.928,161179.827276,106596.235964211,,123355.162544,108839.862161814,,527953,413647.897788151
29000,499957,111032,0.25828,127286,0.240636,256750.572,161486.340444,110781.585287066,,127286.096652,111031.780797458,,528957,429889.1931139
30000,499957,118518,0.265628,133388,0.251696,274762.8,161791.632444,114979.757138879,,133388.057072,118517.966492896,,529957,446180.246408118
31000,499957,122109,0.264008,132824,0.25016,293385.612,162096.924444,119190.323940871,,132824.20312,122108.821345068,,530957,462519.398446518
32000,499957,126396,0.263927,139341,0.26194,312619.008,162402.216444,123412.885714843,,139340.81658,126395.985564736,,531957,478905.097109187
33000,499963,130146,0.262743,141423,0.265352,332462.988,162709.340196,127647.067493856,,141422.797976,130146.03704545,,532963,495335.887332678
34000,499963,134201,0.262208,149751,0.280452,352917.552,163014.632196,131892.517047015,,149750.991276,134200.781961302,,533963,511810.402281023
35000,499963,134612,0.254789,146041,0.272993,373982.7,163319.924196,136148.902872134,,146041.154259,134611.998594821,,534963,528327.355556247
36000,499963,139536,0.256083,147400,0.275019,395658.432,163625.216196,140415.912417979,,147400.008297,139535.922280085,,535963,544885.534299758
37000,499963,144250,0.256909,155717,0.289996,417944.748,163930.508196,144693.250504174,,155717.122148,144250.239791449,,536963,561483.793060768
38000,499963,150068,0.259579,157298,0.292396,440841.648,164235.800196,148980.637912033,,157298.229348,150068.083603938,,537963,578121.048328016
39000,499965,152231,0.255938,161540,0.299723,464349.132,164541.70278,153277.810123823,,161540.206695,152230.968682221,,538965,594796.273637449
40000,499965,149296,0.244144,155172,0.287374,488467.2,164846.99478,157584.516191405,,155171.90191,149296.130047709,,539965,611508.495181978
41000,499965,154898,0.246552,161894,0.299269,513195.852,165152.28678,161900.517718072,,161894.054585,154897.967560579,,540965,628256.787860487
42000,499965,158920,0.246372,163611,0.301885,538535.088,165457.57878,166225.587939772,,163611.104025,158919.861822356,,541965,645040.271712516
43000,499965,163524,0.247068,165420,0.304661,564484.908,165762.87078,170559.510893881,,165420.259865,163523.959198478,,542965,661858.10869266
44000,499965,165040,0.243167,175302,0.322267,591045.312,166068.16278,174902.080665332,,175301.968655,165039.752924534,,543965,678709.499745173
45000,499965,169167,0.243198,176860,0.324535,618216.3,166373.45478,179253.100701307,,176860.216275,169166.99231021,,544965,695593.682144629
46000,499965,169768,0.238268,182535,0.334335,645997.872,166678.74678,183612.383186878,,182535.208275,169768.315303848,,545965,712509.927073079
47000,499965,177662,0.243554,181152,0.331195,674390.028,166984.03878,187979.748474958,,181152.073175,177662.30106586,,546965,729457.537407967
48000,499965,184112,0.246655,181641,0.331483,703392.768,167289.33078,192355.024564785,,181641.082095,184112.133520738,,547965,746435.845698396
49000,499965,184674,0.241896,184813,0.336657,733006.092,167594.62278,196738.046623885,,184812.910005,184674.101180961,,548965,763444.212310088
50000,499983,190148,0.243629,190527,0.346423,763230,167905.410036,201128.656549071,,190526.760809,190148.054957328,,549983,780482.023721841
51000,499983,192170,0.240951,191181,0.346982,794064.492,168210.702036,205526.702562575,,191181.183306,192170.154635096,,550983,797548.690958313
52000,499983,204963,0.251598,194865,0.353027,825509.568,168515.994036,209932.038839867,,194864.902541,204962.712586178,,551983,814643.648145765
53000,499983,206287,0.248011,196594,0.355515,857565.228,168821.286036,214344.525166111,,196593.751245,206287.20452224,,552983,831766.35117894
54000,499983,216728,0.2553,205479,0.370912,890231.472,169126.578036,218764.026618554,,205478.942496,216728.325387534,,553983,848916.27648858
55000,499983,228877,0.264264,214288,0.386116,923508.3,169431.870036,223190.41327246,,214287.816028,228877.179384525,,554983,866092.919900271
56000,499983,225316,0.255086,218568,0.39312,957395.712,169737.162036,227623.559928422,,218568.03696,225316.391310377,,555983,883295.795576303
57000,499983,234614,0.26053,218980,0.393154,991893.708,170042.454036,232063.345859167,,218980.094382,234613.631059181,,556983,900524.435033129
58000,499983,238727,0.260114,226786,0.406439,1027002.288,170347.746036,236509.654574132,,226786.052537,238727.007155258,,557983,917778.3862278
59000,499983,248327,0.265574,223781,0.400336,1062721.452,170653.038036,240962.373600275,,223781.018288,248326.884207558,,558983,935057.212707412
